Dates,Center_mass,DSI,Center_mass_top,Center_mass_bottom,vol_pos,vol_neg,opt_vol,price
2021-04-01,267.56926233898065,39.50349819363156,249.4551785388044,203.65886935897265,10388727.857516058,-5867718.547066054,16924189.272086218,252.9600067138672
2021-04-05,266.44610302559016,43.54784920075821,249.4551785388044,203.65886935897265,10388727.857516058,-5867718.547066054,17455947.292412363,259.3599853515625
2021-04-06,266.09744017454346,59.86444984286741,271.9364645549601,213.21582967616322,16715357.850000003,-1343049.4499999997,23507777.668352455,255.1699981689453
2021-04-07,265.6939291656122,60.485745350698686,270.58629161128454,214.08061615186304,17137305.670700002,-1354932.0662,23214856.555631332,252.5800018310547
2021-04-08,262.82288491889364,58.59660397671445,269.1244984462251,215.35101359165563,21746431.880000003,-1297189.2000000002,21089261.909301452,254.9499969482422
2021-04-09,261.2281753241695,61.52987172306026,268.7018741697285,216.46085165161674,21539323.459999997,-1315966.9,24671175.313960463,252.36000061035156
2021-04-12,267.6735720010281,40.27644772566282,266.32445503916716,221.38236530705973,20299430.790000003,-1715226.5699999996,4738662.352789817,249.52000427246094
2021-04-13,265.1535034156152,45.67861904009137,264.3679463788224,223.85109588961095,23303992.230000004,-1957595.4399999997,4213032.38993354,253.27000427246094
2021-04-14,271.42421181678424,39.88445963510967,276.6436437634667,227.71633575308883,7705191.419799999,-1729752.2669000002,5395362.603454797,252.42999267578125
2021-04-15,272.2243993748992,44.661285969000794,274.8037460489924,225.82431297531846,7381242.4,-1811142.7999999998,7314308.404254062,251.11000061035156
2021-04-16,268.62674832980707,51.29683906895224,278.81175031330196,229.06005640302524,7850909.43,-1369055.8699999999,5596801.762244577,248.17999267578125
2021-04-19,268.7724673630027,43.58947118399751,278.53863345138285,228.69498009282833,9312487.359999996,-1350838.7199999997,5822914.10416265,244.14999389648438
2021-04-20,264.0562375450764,45.142897491370185,276.05479393276266,230.40622563759882,8238278.430000001,-1601085.0599999998,2927597.1791764554,234.05999755859375
2021-04-21,256.30412104123906,48.202815222713795,276.04371424380224,229.35671417854465,8352368.566500002,-1540808.661,-139376.43024184927,235.9199981689453
2021-04-22,255.57681323242193,44.500929873667076,275.9691057320984,224.83543228799866,6576316.74,-1997480.5200000003,257103.08047231473,234.3300018310547
2021-04-23,255.14103737903935,47.237715133608454,276.9291082055516,217.50931936499774,4726607.639999998,-2512868.1599999997,340458.0877770558,238.3800048828125
2021-04-26,253.2550925843027,44.52623736220997,275.3135074145713,217.0338036974189,5163612.300000002,-2644127.6399999997,635772.6712469626,241.44000244140625
2021-04-27,257.02002792345735,49.36479978167563,275.33518175000967,215.15663152451808,5220257.625000001,-2636493.7499999995,1110715.8464214653,242.47000122070312
2021-04-28,254.5233440023572,47.47258688662444,271.5968485780169,216.41973709329915,5599907.38,-2788411.66,347022.78324750066,235.4600067138672
2021-04-29,248.46386924708534,54.40007648166486,276.0585044382678,216.9198472208951,6050235.733199998,-2872487.577299999,-1944635.0126314647,235.94000244140625
2021-04-30,243.15352468669076,46.16129426857931,275.0242083479754,216.8984339092479,5688162.48,-3099336.24,-3721748.7176005244,234.30999755859375
2021-05-03,242.7370844228926,46.73468057616293,274.1649399316653,217.41506025235992,4770268.100000001,-3948653.8000000007,-4256999.000201456,235.19000244140625
2021-05-04,238.57422211547978,44.22009836104254,272.6369777018883,217.05334729587213,4233754.6602,-4782561.6175999995,-5546574.89687505,233.6300048828125
2021-05-05,240.5776867840715,57.62127478149648,271.8481770645077,218.8236279133347,4424001.120000001,-5385566.339999999,-3854506.2496255077,228.17999267578125
2021-05-06,230.6788844598887,49.4279949111842,266.5150899736601,219.25873213787676,4380273.87,-6336295.5600000005,-9008634.954722177,229.80999755859375
2021-05-07,232.41537900132073,58.763657316894204,265.09313358885686,219.05502071187473,4683000.194999998,-5334183.124999999,-7748167.687511012,235.47000122070312
2021-05-10,230.73654277129893,43.6636626517189,264.142591307639,216.79477000787688,3280200.5,-7905989.85,-8635661.834055377,232.92999267578125
2021-05-11,234.66697729588836,43.14389079864968,262.46753156653256,217.13590012645628,3779130.0,-7432910.0,-4408698.122249374,228.8800048828125
2021-05-12,230.66318360107624,43.350425811549506,258.684636348152,217.75638322937468,3762052.4759999993,-8100223.599,-6371503.63829508,220.77999877929688
2021-05-13,232.82711872451645,46.49762574089755,255.34036378114456,217.463543952591,5347256.25,-6425804.25,-2868877.102517048,222.63999938964844
2021-05-14,239.58050730320173,42.55655476809667,253.66430112410603,215.778523044229,4753737.219999999,-7345902.720000001,6625697.795717856,228.47000122070312
2021-05-17,238.79715174939926,45.76050884177562,250.03500173562324,215.33290885937785,6652736.25,-6543851.25,5856505.188452197,227.97999572753906
